,up_degree_of_discrepancy,binance_coef,binance_coef6,up_deposit_status,up_withdraw_enable,up_expected_revenue_rate,up_close_price,up_coef,binance_deposit_status,binance_withdraw_enable,binance_close_price,binance_date,up_date,transaction_price,total,scaled_up_expected_revenue_rate,scaled_up_degree_of_discrepancy,scaled_up_coef,scaled_transaction_price,scaled_binance_coef,scaled_binance_coef6
XTZ,0.8599529359522196,3.653708219767572e+17,2.95966998574853e+18,True,True,0.5389460101513421,0.00011043,1.6065766294773824e+18,True,True,0.0001115,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.046798895828355,0.19363187208851343,0.0699931524589369,0.9701770000413648,0.008925425719318801,0.15415627637185542,0.006344270682997239,0.011753491743451153
HIVE,0.8863876755638964,2.4137550062146343e+19,1.3074857657122658e+19,True,True,0.6282786259542039,9.17e-06,4.361774744027412e+18,True,True,9.26e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0029853771823991,0.19084546915209363,0.08159481807974653,1.0,0.024232081911263425,0.009833877954986005,0.4191225516863928,0.05192309691951153
KAVA,0.8511072391114172,2.8789865967179632e+17,2.7409986109748234e+18,True,True,2.1703986234076877,9.982e-05,0.0,True,True,0.00010356,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.038938979058742405,0.2720066116438639,0.28187061205292563,0.9601975101582558,0.0,0.12826559069755689,0.004999050050981271,0.010885100263891698
ATOM,0.8656395345150136,1.7446336530305974e+17,6.76932928424515e+17,True,True,1.1688649026290188,0.00045,-274080345098075.7,True,True,0.000457,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.20944210707893998,0.3177448199542002,0.15180099266462602,0.9765924757068815,-1.5226685838781999e-06,0.6899054939497641,0.0030293683763824215,0.0026882475490237847
MTL,0.8644969196136696,7.617225355962484e+17,1.8834944651137661e+18,True,True,0.010604204026076758,6.73e-05,3.330744049270375e+18,True,True,6.85e-05,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.01107813792958,0.1476611244387281,0.0013771725833807338,0.9753034066766547,0.01850413360705766,0.03649155524141983,0.01322649117139688,0.007479765227592348
IOST,0.8614450402841998,4.438356164383583e+19,2.017310884136608e+20,True,True,0.6272132352941329,1.02e-06,0.0,True,True,1.03e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0008656095455541999,0.19439284823116143,0.08145645533191258,0.9718603541460245,0.0,0.002851331040458436,0.770672730297826,0.8011179264865627
NKN,0.8390834232569337,3.34171340166313e+18,2.518908214975465e+19,True,True,7.699981944198431,9.46e-06,-6.425489658950826e+18,True,True,1.057e-05,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.00365185790439,0.5370614250687549,1.0,0.9466325473480112,-0.03569716477194907,0.012029275614635324,0.05802525294835679,0.10003131109138766
JST,0.7855582073741055,5.455723542116603e+19,1.0641810807586775e+20,True,True,2.5232037004700114,2.1e-06,-0.0,True,True,2.17e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0010130708704039,0.285848914114299,0.32768956067112925,0.8862467620325996,-0.0,0.0033370708927631812,0.947327614600546,0.422609399239175
TRX,0.4738697864754574,5.759067357512939e+19,1.313928085299456e+20,True,True,0.5167739130434779,2.3e-06,8.78549222797934e+19,True,True,2.32e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.011568930965756,0.16659350520199123,0.0671136525758794,0.5346078240246221,0.48808290155440825,0.03810823498539551,1.0,0.5217893540975308
LOOM,0.6324456633944754,2.945736434108513e+18,1.0104998387616909e+20,True,True,0.48642589870999675,2.22e-06,0.0,True,True,2.27e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0008042638628965,0.1292344473250556,0.06317234277107565,0.7135090895664024,0.0,0.0026492574264850325,0.051149539521632426,0.4012914131924904
CHR,0.6160747167223368,2.358765288293547e+18,4.217079368718707e+19,True,True,4.333062500000007,5.32e-06,-1.0290481407023073e+19,True,True,5.57e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0059265182491579,0.3257332354375333,0.5627367091769303,0.6950398044855558,-0.05716934115012825,0.0195220414706127,0.04095741796137253,0.16746937253268776
ARK,0.47730614260801435,1.8217752717549217e+18,7.340444838127755e+18,True,True,3.9633114326657948,3.423e-05,0.0,True,True,3.572e-05,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0098634777038016,0.2893308311562339,0.5147169774407018,0.5384846334921848,0.0,0.03249044593854727,0.03163316486268113,0.029150499283241264
CVC,0.46731741958818795,9.238773476993534e+18,2.723689911088629e+19,True,True,1.043079222491916,9.01e-06,0.0,True,True,9.31e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0013980029849825,0.1350129694329929,0.13546515174335266,0.5272156105858454,0.0,0.004605043147002308,0.16042134782363981,0.10816363660763019
DGB,0.49650630896432285,4.2878980891720155e+19,1.480821197759592e+20,True,True,0.5135756537042679,2.3e-06,-5.263392857142908e+19,True,True,2.32e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0071050755907258,0.1156833425376996,0.06669829324615789,0.5601457721627939,-0.2924107142857174,0.023404227322457966,0.7445473065318948,0.5880662305325557
SC,0.5097178615420671,2.1138790035587183e+19,2.5181197641948473e+20,True,True,1.2570778503553148,6.2e-07,1.799999999999998e+20,True,True,6.3e-07,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.015986761289454,0.22413197517766603,0.16325724650594317,0.5750507092935357,1.0,0.05266063542752986,0.36705231460803744,1.0
WAVES,0.4723300544913436,5.66263085173654e+16,5.291901802704831e+17,True,True,2.1282756812524672,0.00054405,0.0,True,True,0.0005576,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.30358086566301595,0.35678906477215355,0.2764000872568307,0.5328707376158628,0.0,1.0,0.000983254839752726,0.002101529036843441
XEM,0.6375409014270185,1.3606356968215308e+19,6.049044235880954e+19,True,True,2.1614605489032934,5.95e-06,-4.499999999999948e+19,True,True,6.11e-06,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.0046172243138936,0.21032483482173386,0.2807098204343,0.7192574073431603,-0.24999999999999742,0.015209207285873083,0.23625972963252911,0.24022067265792252
LSK,0.6708437882517283,5.806955164339584e+17,2.6090449359530117e+18,True,True,0.2261294127028579,0.000147,1.0909090909091008e+18,True,True,0.000148,2021-05-11 15:13:00+00:00,2021-05-11 15:13:00+00:00,0.04702451541530999,0.14694431527878105,0.029367525059358825,0.7568288760614312,0.006060606060606122,0.15489947073116472,0.010083152017251844,0.010361083587250415
