코인/토큰명,,* 두개 거래소에 모두 등록된 코인
GO,,* 주기적으로 업데이트 필요
LUNA,,
DAI,,
MKR,,
VET,,
CHZ,,
EOS,,
XTZ,,
HIVE,,
STMX,,
LINK,,
OGN,,
KAVA,,
ATOM,,
ENJ,,
MTL,,
PAX,,
ZIL,,
BSV,,
IOST,,
NCASH,,
DENT,,
STPT,,
ELF,,
VITE,,
IOTX,,
NKN,,
ANKR,,
AERGO,,
BTT,,
JST,,
STORJ,,
GRS,,
REP,,
RLC,,
ADA,,
MANA,,
RCN,,
POWR,,
DNT,,
ANT,,
TRX,,
TUSD,,
LRC,,
POLY,,
BCH,,
MFT,,
LOOM,,
RVN,,
ZRX,,
SYS,,
CHR,,
ARK,,
ETH,,
LTC,,
XRP,,
ETC,,
OMG,,
CVC,,
DGB,,
SC,,
SNT,,
WAVES,,
NMR,,
XEM,,
ADX,,
QTUM,,
BAT,,
LSK,,
STEEM,,
DOGE,,
BNT,,
XLM,,
ARDR,,
KMD,,
